blink_count,blink_per_min,avg_close_duration,long_close_count,eye_closed_ratio,label
14,10.97,4.7,7,0.859,tired
21,18.37,1.526,15,0.467,focus
5,4.78,7.717,4,0.614,tired
18,17.04,2.23,11,0.633,focus
12,11.52,3.45,8,0.662,tired
17,16.26,2.569,12,0.696,focus
6,5.59,7.455,6,0.695,tired
30,28.68,1.38,18,0.659,focus
8,7.64,2.224,8,0.283,tired
20,18.1,2.443,16,0.737,focus
